时间,基准收益,策略收益,当日盈利,当日亏损,当日买入,当日卖出,超额收益(%)
2012-01-04 16:00:00,-2,-5.9,0,-5903.6,97976,0,-3.98
2012-01-05 16:00:00,-2.96,-11.26,0,-5358,0,0,-8.55
2012-01-06 16:00:00,-2.35,-11.96,0,-696,0,0,-9.84
2012-01-09 16:00:00,0.97,-7.87,4088,0,0,0,-8.76
2012-01-10 16:00:00,4.33,-4.78,3090,0,0,0,-8.73
2012-01-11 16:00:00,3.83,-4.59,190,0,0,0,-8.11
2012-01-12 16:00:00,3.81,-4.37,224,0,0,0,-7.88
2012-01-13 16:00:00,2.07,-8.25,0,-3882,0,0,-10.11
2012-01-16 16:00:00,-0,-15.28,0,-7030,0,0,-15.28
2012-01-17 16:00:00,4.9,-10.02,5254,0,0,0,-14.22
2012-01-18 16:00:00,3.26,-12.63,0,-2601.93,59039,-88436,-15.39
2012-01-19 16:00:00,5.23,-12.33,298,0,0,0,-16.69
2012-01-20 16:00:00,6.75,-11.92,408,0,0,0,-17.49
2012-01-30 16:00:00,4.9,-12.03,0,-106,0,0,-16.14
2012-01-31 16:00:00,5.05,-11.73,293,0,0,0,-15.97
2012-02-01 16:00:00,3.55,-12.2,0,-467,0,0,-15.21
2012-02-02 16:00:00,5.99,-11.34,864,0,0,0,-16.35
2012-02-03 16:00:00,6.84,-10.13,1204,0,0,0,-15.88
2012-02-06 16:00:00,6.76,-9.77,363,0,0,0,-15.48
2012-02-07 16:00:00,4.78,-10.67,0,-905,0,0,-14.75
2012-02-08 16:00:00,7.78,-6.81,3863.85,0,84902,-57642,-13.54
2012-02-09 16:00:00,7.82,-7.54,0,-732,0,0,-14.25
2012-02-10 16:00:00,8.01,-6.99,549,0,0,0,-13.89
2012-02-13 16:00:00,7.94,-4.24,2751,0,0,0,-11.28
2012-02-14 16:00:00,7.52,-5.14,0,-894,0,0,-11.77
2012-02-15 16:00:00,8.69,-0.89,4244,0,0,0,-8.81
2012-02-16 16:00:00,8.11,-0.9,0,-9,0,0,-8.33
2012-02-17 16:00:00,8.16,-1.68,0,-777,0,0,-9.1
2012-02-20 16:00:00,8.31,-2.3,0,-626,0,0,-9.8
2012-02-21 16:00:00,9.24,-0.88,1419,0,0,0,-9.26
2012-02-22 16:00:00,10.73,0.82,1705.9,0,95713,-94966,-8.95
2012-02-23 16:00:00,11.11,0.86,41,0,0,0,-9.23
2012-02-24 16:00:00,12.89,3.02,2153,0,0,0,-8.74
2012-02-27 16:00:00,13.25,3.49,478,0,0,0,-8.62
2012-02-28 16:00:00,13.5,0.56,0,-2937,0,0,-11.4
2012-02-29 16:00:00,12.29,-1.53,0,-2090,0,0,-12.31
2012-03-01 16:00:00,12.26,-1.19,341,0,0,0,-11.98
2012-03-02 16:00:00,14.25,1.09,2282,0,0,0,-11.52
2012-03-05 16:00:00,13.51,1.1,7,0,0,0,-10.93
2012-03-06 16:00:00,11.74,3.82,2723,0,0,0,-7.09
2012-03-07 16:00:00,10.97,2.42,0,-1396.81,102281,-100298,-7.7
2012-03-08 16:00:00,12.36,4.57,2151,0,0,0,-6.93
2012-03-09 16:00:00,13.58,6.71,2134,0,0,0,-6.05
2012-03-12 16:00:00,13.16,7.05,338,0,0,0,-5.4
2012-03-13 16:00:00,14.3,8.15,1101,0,0,0,-5.38
2012-03-14 16:00:00,11.06,3.31,0,-4840,0,0,-6.98
2012-03-15 16:00:00,10.22,1.58,0,-1728,0,0,-7.84
2012-03-16 16:00:00,11.84,4.55,2969,0,0,0,-6.52
2012-03-19 16:00:00,12.12,5.78,1229,0,0,0,-5.65
2012-03-20 16:00:00,10.18,2.54,0,-3238,0,0,-6.93
2012-03-21 16:00:00,10.32,0.75,0,-1783.54,99698,-100504,-8.67
2012-03-22 16:00:00,10.15,0.12,0,-639.2,0,0,-9.11
2012-03-23 16:00:00,8.83,-0.47,0,-584,0,0,-8.55
2012-03-26 16:00:00,8.94,2.27,2734,0,0,0,-6.12
2012-03-27 16:00:00,8.59,2.17,0,-98,0,0,-5.91
2012-03-28 16:00:00,5.51,-6.26,0,-8430,0,0,-11.16
2012-03-29 16:00:00,4.15,-10.38,0,-4120,0,0,-13.95
2012-03-30 16:00:00,4.65,-9.96,420,0,0,0,-13.96
2012-04-05 16:00:00,7.12,-7.48,2478,0,0,0,-13.63
2012-04-06 16:00:00,7.42,-7.18,300,0,0,0,-13.59
2012-04-09 16:00:00,6.37,-9.24,0,-2057.8,90519,-90582,-14.68
2012-04-10 16:00:00,7.42,-8.43,813,0,0,0,-14.76
2012-04-11 16:00:00,7.43,-9.19,0,-760,0,0,-15.47
2012-04-12 16:00:00,9.58,-7.47,1717,0,0,0,-15.56
2012-04-13 16:00:00,10.01,-5.91,1566,0,0,0,-14.47
2012-04-16 16:00:00,9.73,-6.06,0,-149,0,0,-14.39
2012-04-17 16:00:00,8.36,-7.22,0,-1161,0,0,-14.38
2012-04-18 16:00:00,10.84,-4.71,2506,0,0,0,-14.03
2012-04-19 16:00:00,10.67,-5.04,0,-332,0,0,-14.2
2012-04-20 16:00:00,11.98,-3.78,1265,0,0,0,-14.07
2012-04-23 16:00:00,11.1,-5.84,0,-2062.54,93419,-94051,-15.25
2012-04-24 16:00:00,11.05,-6.72,0,-878,0,0,-16
2012-04-25 16:00:00,11.95,-5.82,900,0,0,0,-15.87
2012-04-26 16:00:00,12.18,-6.92,0,-1102,0,0,-17.03
2012-04-27 16:00:00,11.95,-5.97,954,0,0,0,-16.01
2012-05-02 16:00:00,14.4,-5.87,94,0,0,0,-17.72
2012-05-03 16:00:00,14.74,-5.88,0,-13,0,0,-17.97
2012-05-04 16:00:00,15.78,-5.38,503,0,0,0,-18.28
2012-05-07 16:00:00,15.86,-4.11,1274,0,0,0,-17.24
2012-05-08 16:00:00,15.49,-3.92,186,0,0,0,-16.81
2012-05-09 16:00:00,13.29,-7.23,0,-3305.19,94168,-92796,-18.11
2012-05-10 16:00:00,13.28,-7.15,72,0,0,0,-18.03
2012-05-11 16:00:00,12.41,-8.01,0,-854,0,0,-18.17
2012-05-14 16:00:00,11.5,-7.7,309,0,0,0,-17.22
2012-05-15 16:00:00,11.58,-8.51,0,-811,0,0,-18.01
2012-05-16 16:00:00,9.76,-9.86,0,-1352,0,0,-17.88
2012-05-17 16:00:00,11.43,-9.45,412,0,0,0,-18.74
2012-05-18 16:00:00,9.73,-10.73,0,-1277,0,0,-18.65
2012-05-21 16:00:00,10.29,-8.76,1972,0,0,0,-17.27
2012-05-22 16:00:00,12.01,-8.76,0,-1,0,0,-18.54
2012-05-23 16:00:00,11.56,-10.02,0,-1259.83,89820,-89892,-19.34
2012-05-24 16:00:00,10.64,-12.59,0,-2574,0,0,-21
2012-05-25 16:00:00,9.69,-15.32,0,-2728,0,0,-22.8
2012-05-28 16:00:00,11.47,-15.12,202,0,0,0,-23.85
2012-05-29 16:00:00,13.01,-14.43,691,0,0,0,-24.28
2012-05-30 16:00:00,12.64,-13.76,664,0,0,0,-23.44
2012-05-31 16:00:00,12.21,-13,762,0,0,0,-22.47
2012-06-01 16:00:00,12.25,-13.36,0,-363,0,0,-22.82
2012-06-04 16:00:00,9.09,-17.58,0,-4218,0,0,-24.45
2012-06-05 16:00:00,9.08,-17.24,336,0,0,0,-24.13
2012-06-06 16:00:00,9.02,-18.25,0,-1007.91,79919,-81603,-25.01
2012-06-07 16:00:00,8.37,-18.85,0,-593,0,0,-25.12
2012-06-08 16:00:00,7.61,-20.29,0,-1448.6,0,0,-25.93
2012-06-11 16:00:00,9.06,-19.33,969,0,0,0,-26.03
2012-06-12 16:00:00,8.29,-19.8,0,-473,0,0,-25.94
2012-06-13 16:00:00,10.01,-17.57,2227,0,0,0,-25.07
2012-06-14 16:00:00,9.15,-18.66,0,-1085,0,0,-25.48
2012-06-15 16:00:00,9.48,-18.51,146,0,0,0,-25.57
2012-06-18 16:00:00,10.04,-16.78,1733,0,0,0,-24.37
2012-06-19 16:00:00,9.08,-16.91,0,-136,0,0,-23.83
2012-06-20 16:00:00,8.82,-15.68,1235.82,0,80461,-79956,-22.51
2012-06-21 16:00:00,7.1,-17.45,0,-1772,0,0,-22.92
2012-06-25 16:00:00,4.72,-19.04,0,-1588,0,0,-22.69
2012-06-26 16:00:00,4.65,-19.02,17,0,0,0,-22.62
2012-06-27 16:00:00,4.33,-19.51,0,-492,0,0,-22.85
2012-06-28 16:00:00,3.41,-19.53,0,-18,0,0,-22.18
2012-06-29 16:00:00,4.94,-18.72,806,0,0,0,-22.55
2012-07-02 16:00:00,5.09,-16.62,2109,0,0,0,-20.66
2012-07-03 16:00:00,5.24,-17.15,0,-532,0,0,-21.28
2012-07-04 16:00:00,5.08,-17.63,0,-481,0,0,-21.61
2012-07-05 16:00:00,3.61,-20.74,0,-3111.29,80051,-79329,-23.5
2012-07-06 16:00:00,5.41,-20.93,0,-194,0,0,-24.99
2012-07-09 16:00:00,3,-23.01,0,-2074,0,0,-25.25
2012-07-10 16:00:00,2.6,-23.9,0,-897,0,0,-25.83
2012-07-11 16:00:00,3.4,-23.64,260,0,0,0,-26.15
2012-07-12 16:00:00,4.41,-23.2,442,0,0,0,-26.44
2012-07-13 16:00:00,4.47,-22.7,502,0,0,0,-26.01
2012-07-16 16:00:00,2.3,-23.35,0,-652,0,0,-25.07
2012-07-17 16:00:00,2.92,-21.2,2150,0,0,0,-23.44
2012-07-18 16:00:00,2.92,-20.55,648,0,0,0,-22.8
2012-07-19 16:00:00,3.35,-19.99,559.88,0,78415,-77827,-22.58
2012-07-20 16:00:00,2.25,-20.63,0,-640,0,0,-22.38
2012-07-23 16:00:00,0.84,-22.07,0,-1440,0,0,-22.72
2012-07-24 16:00:00,1.29,-20.19,1881,0,0,0,-21.21
2012-07-25 16:00:00,0.61,-20.03,161,0,0,0,-20.51
2012-07-26 16:00:00,0.07,-20.29,0,-257,0,0,-20.35
2012-07-27 16:00:00,0.14,-20.8,0,-512,0,0,-20.91
2012-07-30 16:00:00,-0.42,-22.41,0,-1612,0,0,-22.08
2012-07-31 16:00:00,-0.55,-24.9,0,-2485,0,0,-24.48
2012-08-01 16:00:00,0.55,-25.21,0,-308,0,0,-25.62
2012-08-02 16:00:00,-0.46,-24.77,440.82,0,73058,-73932,-24.42
2012-08-03 16:00:00,0.34,-22.86,1906,0,0,0,-23.12
2012-08-06 16:00:00,1.7,-20.64,2216,0,0,0,-21.97
2012-08-07 16:00:00,1.84,-20.11,530,0,0,0,-21.55
2012-08-08 16:00:00,1.88,-20.67,0,-557,0,0,-22.13
2012-08-09 16:00:00,2.81,-18.96,1712,0,0,0,-21.17
2012-08-10 16:00:00,2.3,-18.39,571,0,0,0,-20.22
2012-08-13 16:00:00,0.26,-19.56,0,-1177,0,0,-19.77
2012-08-14 16:00:00,0.48,-18.59,975,0,0,0,-18.98
2012-08-15 16:00:00,-0.6,-18.18,412,0,0,0,-17.69
2012-08-16 16:00:00,-1.11,-18.91,0,-730.28,79529,-80316,-18
2012-08-17 16:00:00,-1.38,-18.71,196,0,0,0,-17.57
2012-08-20 16:00:00,-1.87,-17.96,753,0,0,0,-16.4
2012-08-21 16:00:00,-1.37,-16.77,1188,0,0,0,-15.61
2012-08-22 16:00:00,-2.14,-17.67,0,-896,0,0,-15.87
2012-08-23 16:00:00,-1.86,-16.23,1438,0,0,0,-14.64
2012-08-24 16:00:00,-2.99,-15.3,932,0,0,0,-12.69
2012-08-27 16:00:00,-5.01,-16.64,0,-1342,0,0,-12.24
2012-08-28 16:00:00,-4.58,-13.89,2750,0,0,0,-9.76
2012-08-29 16:00:00,-5.58,-13.59,302,0,0,0,-8.48
2012-08-30 16:00:00,-5.73,-17.11,0,-3520.31,84141,-83737,-12.07
2012-08-31 16:00:00,-6.01,-15.14,1965,0,0,0,-9.71
2012-09-03 16:00:00,-5,-14.11,1030,0,0,0,-9.59
